,family_history,sex,peer_discussion
0,No,Male,Yes
1,Yes,male,Maybe
2,I don't know,Male,Maybe
3,Yes,male,Maybe
4,No,m,No
5,Yes,female,Yes
6,Yes,Female,Maybe
7,Yes,Male,
8,No,,Yes
9,I don't know,Male,Maybe
10,No,M,Yes
11,No,male,
12,Yes,Male,Maybe
13,Yes,Male,Yes
14,No,female,No
15,No,M,Maybe
16,Yes,Male,Yes
17,Yes,male,
18,Yes,F,Yes
19,I don't know,Male,No
20,I don't know,Male,Yes
21,Yes,f,Yes
22,I don't know,male,Yes
23,Yes,"Let's keep it simple and say ""male""",No
24,Yes,male,Yes
25,Yes,Male,Yes
26,Yes,female,No
27,No,Male,Yes
28,Yes,Male,Maybe
29,I don't know,Female,No
30,Yes,Male,Maybe
31,No,Male,Maybe
32,No,Female,
33,No,Male,Yes
34,I don't know,Non-binary,Yes
35,I don't know,M,Maybe
36,Yes,Male,Yes
37,I don't know,Male,Maybe
38,No,Male,
39,No,Male,
40,No,Male,Yes
41,Yes,Male,Maybe
42,No,male,No
43,I don't know,Male,
44,No,Identify as male,Yes
45,Yes,Male,Yes
46,I don't know,m,
47,No,Male,Yes
48,I don't know,,Maybe
49,I don't know,Female,
50,No,Male,
51,No,Male,
52,No,Male,
53,I don't know,Male,No
54,No,Female,Maybe
55,I don't know,male,Maybe
56,Yes,Male,No
57,Yes,Male,Maybe
58,Yes,Male ,No
59,No,female,No
60,Yes,Male,No
61,Yes,Male,No
62,Yes,Male,No
63,Yes,Woman,Yes
64,No,,Yes
65,I don't know,Male,No
66,I don't know,Male,
67,I don't know,Male,Maybe
68,No,Male,Maybe
69,I don't know,Male,Yes
70,Yes,Female,No
71,Yes,Male,Yes
72,I don't know,Male,Maybe
73,Yes,Female,Maybe
74,Yes,Male,Maybe
75,No,Male,Maybe
76,Yes,M,No
77,No,M,Yes
78,I don't know,Non binary,No
79,Yes,Masculine,Maybe
80,Yes,M,Yes
81,Yes,Female,Maybe
82,No,Male,Maybe
83,I don't know,male,Yes
84,No,Male,Maybe
85,No,Male,Yes
86,Yes,M,No
87,I don't know,male,Maybe
88,Yes,Cishet male,Maybe
89,I don't know,Male,Yes
90,I don't know,Male,Maybe
91,I don't know,female,No
92,Yes,Female,Yes
93,I don't know,Male,Yes
94,I don't know,M,Maybe
95,Yes,Male,Maybe
96,Yes,F,No
97,Yes,Female,Yes
98,Yes,Non-binary,Yes
99,Yes,,No
100,No,male,No
101,Yes,male,Maybe
102,Yes,Female,Yes
103,No,Male,Yes
104,Yes,Male,
105,I don't know,Male,Maybe
106,I don't know,Female-identified,
107,I don't know,Male,Maybe
108,Yes,F,Yes
109,I don't know,Male,Yes
110,Yes,male,Yes
111,No,Male,Maybe
112,Yes,Woman,No
113,Yes,woman,
114,No,male,Maybe
115,No,Male,Maybe
116,I don't know,Male,Maybe
117,Yes,M,No
118,Yes,Male,Yes
119,Yes,male,Maybe
120,No,Male,Maybe
121,No,male,Maybe
122,No,Female,No
123,Yes,Male,No
124,Yes,Nonbinary,Yes
125,I don't know,male,Yes
126,Yes,female,Maybe
127,Yes,Female,Yes
128,I don't know,Male,Maybe
129,No,male,Maybe
130,I don't know,Male,No
131,Yes,Male,Maybe
132,I don't know,Male,Yes
133,I don't know,Male,Maybe
134,Yes,agender,Maybe
135,Yes,Male,Maybe
136,I don't know,Female,No
137,No,Female,Maybe
138,No,Male,No
139,I don't know,f,Maybe
140,No,Male,Maybe
141,Yes,female,No
142,Yes,male,Maybe
143,I don't know,Female,Maybe
144,I don't know,Male,Maybe
145,I don't know,Female,No
146,No,Male,Maybe
147,I don't know,Female,Yes
148,No,Male,No
149,No,male,
150,Yes,F,No
151,No,male,Yes
152,Yes,Man,Yes
153,No,male,No
154,Yes,Male,No
155,Yes,Female,Maybe
156,I don't know,Male,No
157,I don't know,Questioning,Maybe
158,Yes,cis male,
159,Yes,Male,Yes
160,Yes,male,
161,Yes,Male,
162,Yes,female,
163,Yes,male,Maybe
164,I don't know,Male,Maybe
165,No,male,
166,Yes,Cis Male,Maybe
167,Yes,female,Maybe
168,Yes,Male,Maybe
169,I don't know,female,No
170,No,I have a penis,
171,Yes,female,Yes
172,No,Male,Maybe
173,Yes,Female,No
174,Yes,Female,Maybe
175,Yes,F,Maybe
176,Yes,Male,Maybe
177,No,Male,No
178,Yes,Male,Yes
179,Yes,m,No
180,No,male,No
181,Yes,Male,Yes
182,Yes,male,No
183,I don't know,Male,Maybe
184,No,Male,Maybe
185,No,Female,No
186,I don't know,male,Maybe
187,Yes,Male,Yes
188,Yes,Male,Maybe
189,Yes,Woman,Maybe
190,Yes,Male,No
191,Yes,rr,
192,No,male,Yes
193,Yes,Male,Maybe
194,I don't know,Male,Maybe
195,Yes,cis woman,Maybe
196,Yes,Female,
197,No,Male,Yes
198,Yes,Male,Maybe
199,No,Male,Maybe
